"","Country","Neighbor","land_border_proportion","total_border_proportion"
"350","SRB","BGR",0.1571428571,0.1568820918
"351","NGA","BEN",0.1908548708,0.157755102
"352","VNM","CHN",0.2761012834,0.1584807621
"353","ALB","MNE",0.2377777778,0.1589648799
"354","IND","CHN",0.2378525314,0.1593663068
"355","CMR","CAF",0.1735015773,0.1596234729
"356","AZE","GEO",0.1598721023,0.1599602583
"357","CRI","NIC",0.483627204,0.1601866252
"358","LBY","DZA",0.2257586973,0.1605099706
"359","CIV","BFA",0.1880829016,0.1611034483
"360","UGA","SSD",0.161097852,0.1612305411
"361","ETH","KEN",0.1615826034,0.1615990991
"362","ROU","HUN",0.176508344,0.1620929382
"363","COL","PER",0.2492629322,0.1623968736
"364","POL","UKR",0.1887990762,0.1629491945
"365","IRQ","SYR",0.1656387665,0.1631607335
"366","AGO","ZMB",0.213622291,0.1632833186
"367","GIN","CIV",0.1799242424,0.1640225867
"368","ROU","MDA",0.1797175866,0.1646542261
"369","MWI","TZA",0.1648044693,0.1648733079
"370","ETH","SSD",0.1658109333,0.1657282282
"371","LTU","RUS",0.1782553729,0.1665443874
"372","SDN","EGY",0.1881989055,0.1671261652
"373","NER","DZA",0.1677966102,0.167807618
"374","AUT","ITA",0.1695979899,0.1678376269
"375","SVN","ITA",0.1737032569,0.1680428799
"376","CIV","GIN",0.1968911917,0.1682758621
"377","HUN","AUT",0.1682727947,0.1685859051
"378","HTI","DOM",1,0.1689347724
"379","AFG","IRN",0.1690919674,0.1691083379
"380","KEN","SOM",0.1962054604,0.1699476701
"381","CRI","PAN",0.5289672544,0.1710730949
"382","ETH","ERI",0.1712473573,0.1711711712
"383","BFA","GHA",0.171875,0.1719386157
"384","LBY","TCD",0.2427831236,0.1724419745
"385","BLR","LTU",0.1733333333,0.1731034483
"386","SRB",NA,0.1738095238,0.1736556487
"387","ROU","SRB",0.189987163,0.1741675814
"388","MOZ","ZWE",0.2693661972,0.1748331203
"389","GIN","SLE",0.1917613636,0.1753159451
"390","TUN","LBY",0.3121577218,0.1753916699
"391","NAM","ZAF",0.2457072772,0.1755628177
"392","ESP","PRT",0.6325503356,0.1764022087
"393","UZB","KGZ",0.1766683911,0.176659701
"394","TCD","LBY",0.1769147789,0.1767761394
"395","COL","BRA",0.2736531761,0.1783543205
"396","SDN","TCD",0.2022364977,0.1785479848
"397","PER","ECU",0.2558139535,0.1786163522
"398","COD","ZMB",0.179910045,0.1792514164
"399","KHM","LAO",0.2102628285,0.1794361526
"400","CHE","DEU",0.180712424,0.1803455724
"401","GEO","AZE",0.2202643172,0.1818181818
"402","LBY","EGY",0.2564766839,0.182249101
"403","BFA","CIV",0.1829637097,0.182900094
"404","TCD","CMR",0.1833872708,0.183310992
"405","KAZ","UZB",0.1834137192,0.1833999334
"406","SSD","ETH",0.1841663871,0.1840733792
"407","DZA","MLI",0.2126865672,0.184252812
"408","CIV","GHA",0.2150259067,0.1842758621
"409","ISR","JOR",0.2341772152,0.184496124
"410","IRN","IRQ",0.2680473373,0.1850253807
"411","UZB","TJK",0.186497672,0.1866259444
"412","FIN","NOR",0.2736526946,0.1868020305
"413","MNE","ALB",0.2757731959,0.18726184
"414","MMR","IND",0.2489728841,0.1874199334
"415","ARE","OMN",0.4638218924,0.1876430206
"416","PER","COL",0.2703488372,0.1881761006
"417","GEO",NA,0.2290748899,0.1885940147
"418","RWA","UGA",0.1891891892,0.18924972
"419","MLI","DZA",0.1899577872,0.1899765291
"420","CYP",NA,1,0.19
"421","IND","BGD",0.2851965115,0.1910981187
"422","PRY","BOL",0.1926229508,0.1913265306
"423","KEN","TZA",0.2211938917,0.1916272116
"424","PSE","JOR",0.2068965517,0.1916996047
"425","CZE","AUT",0.1924721985,0.192450824
"426","MKD","BGR",0.1932773109,0.1932114883
"427","ROU","UKR",0.2118100128,0.1942919868
"428","OMN","SAU",0.4918032787,0.1950375072
"429","ZMB","AGO",0.1959670548,0.1958708311
